id,name,description,main_category_id,sub_category_id,gender,size,color,imgurls
11,"Rayon Blouse","Fabric details\nThis item ships with one of the below options. Note that you cannot specify a preference at this time.\n[00 WHITE, 05 GRAY, 09 BLACK]\n76% Rayon, 24% Polyester ( 24% Uses Recycled Polyester Fiber )\n76% Rayon, 24% Polyester\n[17 RED, 50 LIGHT GREEN]\n76% Rayon, 24% Polyester\n[71 PURPLE]\n76% Rayon, 24% Polyester ( 24% Uses Recycled Polyester Fiber )\nFunction details\n- Sheer: Not Sheer(Only 00 White is slightly sheer)\n- Fit: Relaxed\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",3,10,"Women","S, M, L, XL","White, Black, Yellow, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/464721/item/vngoods_00_464721_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/464721/item/vngoods_09_464721_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/464721/item/vngoods_41_464721_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/464721/item/vngoods_66_464721_3x4.jpg?width=369"
12,"Linen Blend Frilled Blouse","Fabric details\n62% Rayon, 33% Linen, 5% Nylon\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Fit: Oversized\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",3,10,"Women","S, M, L","White, Black, Orange","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475720/item/vngoods_01_475720_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475720/item/vngoods_09_475720_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475720/item/vngoods_26_475720_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475720/sub/goods_475720_sub14_3x4.jpg?width=369"
13,"Linen Blend Volume Blouse | Printed","Fabric details\n62% Rayon, 33% Linen, 5% Nylon\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Fit: Oversized\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",3,10,"Women","XS, S, M, L, XL","White, Yellow","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477604/item/vngoods_00_477604_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477604/item/vngoods_48_477604_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477604/sub/vngoods_477604_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477604/sub/goods_477604_sub15_3x4.jpg?width=369"
14,"Cropped Shirt","Fabric details\n100% Polyester ( 100% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,12,"Women","S, M, L","Black, Orange, Brown, Green","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476589/item/vngoods_09_476589_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476589/item/vngoods_25_476589_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476589/sub/goods_476589_sub13_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476589/sub/goods_476589_sub14_3x4.jpg?width=369"
15,"Premium Linen Shirt | Striped","Fabric details\n100% Linen\nFunction details\n- Sheer: Not Sheer\n- Fit: Relaxed\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,12,"Women","XS, S, M, L, XL","White, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475648/item/vngoods_01_475648_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475648/item/vngoods_61_475648_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475648/sub/goods_475648_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475648/sub/goods_475648_sub15_3x4.jpg?width=369"
16,"Oxford Boxy Shirt | Striped","Fabric details\n60% Cotton, 40% Rayon\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",3,12,"Women","S, M, L, XL","Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477683002/item/vngoods_60_477683002_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477683002/sub/vngoods_477683002_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477683002/sub/vngoods_477683002_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477683002/sub/goods_477683002_sub14_3x4.jpg?width=369"
26,"Cotton Easy Shorts","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",5,16,"Women","XS, S, M, L, XL","Olive, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477647/item/vngoods_57_477647_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477647/item/vngoods_68_477647_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477647/sub/goods_477647_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477647/sub/goods_477647_sub15_3x4.jpg?width=369"
18,"Cotton Gathered Mini Dress | Sleeveless","Fabric details\n[01 OFF WHITE] Shell: 100% Cotton/ Liner: 100% Polyester ( 44% Uses Recycled Polyesterr Fiber ) [60 LIGHT BLUE] 100% Cotton\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Lining: No Lined(Only 01 Off White is lined)\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",4,14,"Women","S, M, L","White, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477843/item/vngoods_01_477843_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477843/item/vngoods_60_477843_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477843/sub/goods_477843_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477843/sub/goods_477843_sub17_3x4.jpg?width=369"
20,"Pleated Skort","Fabric details\nShell: 66% Polyester, 28% Rayon, 6% Spandex ( 66% Uses Recycled Polyesterr Fiber )/ Liner: 100% Polyester ( 60% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",4,13,"Women","S, M, L, XL","Gray, Black, Olive","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475822/item/vngoods_05_475822_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475822/item/vngoods_09_475822_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475822/item/vngoods_57_475822_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475822/sub/goods_475822_sub15_3x4.jpg?width=369"
21,"Satin Skirt","Fabric details\nBody: Skirt: 100% Polyester/ Elastic Part: 89% Polyester, 11% Spandex/ Petticoat: 100% Polyester ( 60% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Lining: Lined(Half-slip)\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",4,13,"Women","XS, S, M, L, XL","Gray, Black, Natural, Brown","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/469830/item/vngoods_02_469830_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/469830/sub/goods_469830_sub13_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/469830/sub/goods_469830_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/469830/sub/vngoods_469830_sub23_3x4.jpg?width=369"
22,"Belted Narrow Skirt","Fabric details\nShell: 100% Cotton/ Liner: 80% Polyester, 20% Cotton/ Pocket Lining: 80% Polyester, 20% Cotton\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Lining: Lined\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",4,13,"Women","S, M, L, XL","White","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476311/item/vngoods_01_476311_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476311/sub/vngoods_476311_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476311/sub/goods_476311_sub14_3x4.jpg?width=369"
23,"Drape Easy Wide Pants","Fabric details\nBody: 100% Polyester/ Pocket Lining: 100% Polyester ( 60% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Loose\n- Silhouette: Straight\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",5,15,"Women","S, M, L, XL","White, Black, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475829/item/vngoods_01_475829_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475829/item/vngoods_09_475829_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475829/item/vngoods_69_475829_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475829/sub/goods_475829_sub14_3x4.jpg?width=369"
24,"Wide Straight Jeans","Fabric details\nThis item ships with one of the below options. Note that you cannot specify a preference at this time.\n476090: [10 PINK] Body: 100% Cotton/ Pocket Lining: 100% Cotton\n[60 LIGHT BLUE, 64 BLUE, 69 NAVY] Body: 100% Cotton/ Pocket Lining: 65% Polyester, 35% Cotton\n472491: [08 DARK GRAY, 62 BLUE, 64 BLUE] Body: 100% Cotton/ Pocket Lining: 65% Polyester, 35% Cotton\n[31 BEIGE] Body: 100% Cotton/ Pocket Lining: 100% Cotton\nWashing instructions\nMachine wash cold, Do not Dry Clean, Do not tumble dry.",5,15,"Women","S, M, L, XL","White, Black, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/472491/item/vngoods_60_472491_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/472491/sub/vngoods_472491_sub9_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/472491/item/goods_62_472491_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/472491/sub/vngoods_472491_sub24_3x4.jpg?width=369"
25,"Linen Cotton Shorts","Fabric details\nBody: 53% Linen, 47% Cotton/ Pocket Lining: 80% Polyester, 20% Cotton\nFunction details\n- Sheer: Not Sheer(Only 31 Beige is slightly sheer)\n- Fit: Regular\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",5,16,"Women","XS, S, M, L, XL","White, Gray","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473698/item/vngoods_31_473698_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/473698/item/vngoods_69_473698_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473698/sub/goods_473698_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/473698/sub/goods_473698_sub15_3x4.jpg?width=369"
31,"Work Jacket","Fabric details\n100% Polyester\nFunction details\n- Fit: Relaxed\n- Pockets: With Pockets(Inside pocket(s))\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry.",1,7,"Men","S, M, L","Black, Brown","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476645/item/vngoods_09_476645_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476645/item/vngoods_34_476645_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476645/sub/vngoods_476645_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476645/sub/goods_476645_sub14_3x4.jpg?width=369"
33,"BLOCKTECH Single Breasted Coat","Fabric details\nBody: 65% Polyester, 35% Cotton ( 65% Uses Recycled Polyesterr Fiber )/ Pocket Lining: Outer Layer: 65% Polyester, 35% Cotton/ Pocket Lining: Inner Layer: 65% Polyester, 35% Cotton ( 65% Uses Recycled Polyesterr Fiber )\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nHand wash cold, Do not Dry Clean, Do not tumble dry.",1,8,"Men","S, M, L","Black, Beige, Olive","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475402/item/vngoods_09_475402_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475402/sub/vngoods_475402_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475402/item/vngoods_56_475402_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475402/sub/goods_475402_sub14_3x4.jpg?width=369"
34,"Oversized Single Breasted Coat","Fabric details\nShell: 75% Rayon, 25% Nylon/ Body Lining: 65% Polyester, 35% Cotton/ Sleeve Lining: 100% Polyester/ Pocket Lining Trong: Pocket Lining Under: Outer Layer: 65% Polyester, 35% Cotton/ Pocket Lining Under: Inner Layer: 75% Rayon, 25% Nylon\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry.",1,8,"Men","S, M, L","Gray, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475634/item/vngoods_07_475634_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475634/item/vngoods_09_475634_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475634/sub/goods_475634_sub11_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475634/sub/goods_475634_sub14_3x4.jpg?width=369"
35,"UTme! OHQUAO | Banh mi","Fabric details\n100% Cotton\nWashing instructions\nMachine wash cold, Do not Dry Clean, Do not tumble dry.",2,9,"Unisex","XS, S, M, L, XL","White","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481275003/item/vngoods_51_481275003_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/481275003/sub/vngoods_481275003_sub2_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481275003/sub/goods_481275003_sub17_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481275003/sub/goods_481275003_sub18_3x4.jpg?width=369"
36,"Oversized T-Shirt | Bi-color","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",2,9,"Men","XS, S, M, L, XL","Wine, Olive, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475366/item/vngoods_18_475366_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475366/item/vngoods_57_475366_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475366/item/vngoods_69_475366_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/475366/sub/goods_475366_sub14_3x4.jpg?width=369"
37,"DRY-EX UV Protection Half Zip T-Shirt","Fabric details\n100% Polyester ( 39% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",2,11,"Men","XS, S, M, L, XL","White, Black, Blue","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478676/item/vngoods_01_478676_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478676/item/vngoods_09_478676_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/478676/item/vngoods_67_478676_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/478676/sub/goods_478676_sub14_3x4.jpg?width=369"
38,"DRY-EX T-Shirt","Fabric details\n70% Polyester, 30% Nylon ( 35% Uses Recycled Polyesterr Fiber )\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",2,11,"Men","S, M, L","Gray, Black, Green","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476223/item/vngoods_05_476223_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476223/item/vngoods_08_476223_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476223/item/vngoods_50_476223_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476223/sub/goods_476223_sub13_3x4.jpg?width=369"
40,"Oxford Slim Fit Shirt","Fabric details\n100% Cotton\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,12,"Men","XS, S, M, L, XL","White, Gray, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/462368/item/vngoods_01_462368_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/462368/sub/vngoods_462368_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/462368/sub/goods_462368_sub14_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/462368/sub/goods_462368_sub17_3x4.jpg?width=369"
41,"Broadcloth Oversized Shirt | Striped","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Fit: Oversized\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",3,10,"Men","XS, S, M, L, XL","White, Brown","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477643/item/vngoods_01_477643_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477643/sub/vngoods_477643_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477643/sub/goods_477643_sub13_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477643/sub/goods_477643_sub14_3x4.jpg?width=369"
